instance,profile,policy,stream,route_len,rho_cand,cand_count,N,candidate_cvar_matches_full,tier2_decision,tier2_incremental_certified,full_feasible,t_tier2_total,t_tier2_exact_partial,t_full,tier2_over_full,cvar_L,cvar_U,cvar_candidate,cvar_full
CON3-0,moderate,SAA,search,13,0.7489,7489,10000,1,ambiguous,0,0,0.0040000000153668225,0.0010953000164590776,0.0013237999810371548,3.021604526865872,8073138.260666289,8598564.592769055,8341376.977446806,8341376.977446807
CON3-0,moderate,SAA,search,13,0.9312,9312,10000,1,ambiguous,0,1,0.004187900020042434,0.0015133000269997865,0.0016718000115361065,2.505024519167487,7651669.742146811,8388101.732858574,8044014.811972773,8044014.811972773
CON3-0,moderate,SAA,search,13,0.8577,8577,10000,1,ambiguous,0,0,0.0042344999965280294,0.001285300008021295,0.0014516999945044518,2.916924993151568,8011674.683707064,8679419.275728738,8364545.720687397,8364545.720687397
CON3-0,moderate,SAA,search,17,0.8823,8823,10000,1,ambiguous,0,0,0.005107299977680668,0.002328899980057031,0.002971400012029335,1.7188193972553052,7773537.474615388,8384098.434045387,8139553.2342369305,8139553.2342369305
CON3-0,moderate,SAA,search,17,0.8823,8823,10000,1,ambiguous,0,0,0.005456900020362809,0.002372899994952604,0.0022364000033121556,2.440037565856298,7773537.474615388,8384098.434045387,8139547.413606713,8139547.413606713
CON3-0,moderate,SAA,search,17,0.8607,8607,10000,1,ambiguous,0,0,0.005576600000495091,0.0026292999973520637,0.0022471999982371926,2.4815770758586835,7742830.75720537,8364266.571418849,8102838.695606085,8102838.6956060855
CON3-0,moderate,SAA,search,17,0.8607,8607,10000,1,ambiguous,0,0,0.005330299987690523,0.0023330000112764537,0.0025001000030897558,2.1320347110527806,7742830.75720537,8364266.571418849,8102838.695606085,8102838.6956060855
CON3-0,moderate,SAA,search,10,0.7965,7965,10000,1,certified_feasible,1,1,0.0032899000216275454,0.0010654000216163695,0.0012519999872893095,2.627715698903855,7473902.38795095,8031108.908258585,7763291.389587981,7763291.389587982
CON3-0,moderate,SAA,search,15,0.9437,9437,10000,1,certified_infeasible,1,0,0.00521069997921586,0.0022729999909643084,0.0019184999982826412,2.7160281385875713,8265064.536648514,9070938.610819053,8705930.186998308,8705930.186998308
CON3-0,moderate,SAA,search,15,0.9437,9437,10000,1,certified_infeasible,1,0,0.005214100005105138,0.002368299989029765,0.0019422000041231513,2.6846359767459465,8265064.536648514,9070938.610819053,8705930.186998308,8705930.186998308
CON3-0,moderate,SAA,search,15,0.9469,9469,10000,1,ambiguous,0,1,0.005416300002252683,0.002654699987033382,0.002376899996306747,2.278724393398371,7673976.049375947,8430432.31603659,8079980.722544826,8079980.722544826
CON3-0,moderate,SAA,search,15,0.9469,9469,10000,1,ambiguous,0,0,0.005253599985735491,0.002204899996286258,0.002011600008700043,2.611652397600916,7673976.049375947,8430432.31603659,8085284.220316527,8085284.220316527
CON3-0,moderate,SAA,search,15,0.7451,7451,10000,1,ambiguous,0,0,0.004663600004278123,0.0018281999800819904,0.0022825000050943345,2.0431982448496773,7930209.4416165585,8437601.048652414,8208397.070096392,8208397.070096391
CON3-0,moderate,SAA,search,11,0.8862,8862,10000,1,ambiguous,0,1,0.003793899988522753,0.0011873999901581556,0.001129900017986074,3.357730709027666,7605719.353597914,8261781.163822018,7949606.942322151,7949606.942322151
CON3-0,moderate,SAA,search,11,0.8981,8981,10000,1,ambiguous,0,1,0.003935399989131838,0.0012644999951589853,0.0012258999922778457,3.2102129161608595,7646648.034657528,8324676.946953247,8003387.163821606,8003387.163821606
CON3-0,moderate,SAA,search,14,0.8074,8074,10000,1,ambiguous,0,0,0.0047383000201079994,0.0019160000083502382,0.0017070999892894179,2.775642932362926,7857816.925780103,8427570.734915655,8158753.53276881,8158753.53276881
CON3-0,moderate,SAA,search,14,0.8194,8194,10000,1,ambiguous,0,0,0.004984499973943457,0.00189049998880364,0.002107900014379993,2.364675715138022,7836606.362673628,8414272.706460724,8142161.840068981,8142161.840068981
CON3-0,moderate,SAA,search,11,0.8967,8967,10000,1,ambiguous,0,0,0.0031789999920874834,0.0009672999731265008,0.0012898000131826848,2.464723181575294,7764283.240688813,8448202.887068506,8123558.50400052,8123558.50400052
CON3-0,moderate,SAA,search,15,0.8789,8789,10000,1,certified_feasible,1,1,0.005223799991654232,0.002339900005608797,0.002062100014882162,2.5332427883973145,7345039.054391867,8005400.001215569,7718157.55990176,7718157.559901761
CON3-0,moderate,SAA,search,15,0.8745,8745,10000,1,certified_feasible,1,1,0.004957099998136982,0.0021204999939072877,0.0021742999961134046,2.2798601881055403,7364077.956612994,8005429.689517529,7728433.348406583,7728433.348406583
CON3-0,moderate,SAA,search,15,0.8245,8245,10000,1,certified_feasible,1,1,0.004878300009295344,0.0017667000065557659,0.002112200018018484,2.309582410605137,7487904.975441728,8052924.710124882,7801342.284800022,7801342.284800023
CON3-0,moderate,SAA,search,11,0.9125,9125,10000,1,certified_infeasible,1,0,0.0037443999899551272,0.0012246999831404537,0.0010187000152654946,3.6756649983746765,8178498.934679098,8919881.094218818,8569200.354682779,8569200.354682779
