instance,profile,policy,N,dimension,alpha,capacity,iterations,repetitions,direction,explained_variance,effective_rank,entropy_rank,top_share,residual_cvar,prep_seconds,calls,coverage,certified_feasible,certified_infeasible,fallbacks,mean_pieces,mean_route_length_checked,K,distance,objective_raw,full_gate_seconds,full_gate_iqr,cert_gate_seconds,cert_gate_iqr,gate_speedup,gate_speedup_iqr,full_solver_seconds,full_solver_iqr,cert_solver_seconds,cert_solver_iqr,solver_speedup,solver_speedup_iqr,solver_speedup_with_prep,audit
CON8-1,moderate,SAA,50000,10,0.9,3473465.0,10,3,SLOPE,0.10031009724521676,1.2911513478259204,1.6997527895915583,0.8758486351259328,4.059256341799907,0.008390600007260218,8785,0.7406943653955607,2939,3568,2278,3.3571997723392144,5.5451337507114395,10,833.0718,11937439.074509803,31.220833500337903,0.2619149001984624,9.117938200331992,0.04171575007785577,3.4268257603100443,0.03774690048344009,31.349839000002248,0.26470749999862164,9.236467900002026,0.04197474999818951,3.3958941597230345,0.03784056102807165,3.3910566613832716,False
CON8-2,moderate,SAA,50000,10,0.9,3204355.0,10,3,SLOPE,0.10024187692755052,1.2739046189250414,1.6770889161850695,0.8825624974220402,4.059893371024676,0.008609999989857897,8047,0.7165403255871754,2860,2906,2281,3.497949546414813,5.616751584441407,10,751.8025,10771058.380392157,28.703130100751878,0.2877567998802988,9.03974520060001,0.09501330023340415,3.1981858377302284,0.04588523304937553,28.82322760000534,0.28956074999587145,9.15522410000267,0.09654600000067148,3.170672635284155,0.045353205590088486,3.145324029821627,False
CON8-3,moderate,SAA,50000,10,0.9,3185245.0,10,3,SLOPE,0.10022270337080184,1.296976272411636,1.7026119660157424,0.8735892446983583,4.060286245498324,0.0075477999926079065,11291,0.7990434859622708,3747,5275,2269,3.30466743423966,5.215304224603667,10,848.9524,12350382.054901961,37.18523590035329,3.8066351496672723,8.715532700458425,0.17139590022998163,4.2665476888632865,0.5266343996690814,37.342380599991884,3.8282811000099173,8.850961100004497,0.17297099999996135,4.219019853106451,0.5207230084018875,4.215425081302802,False
CON8-4,moderate,SAA,50000,10,0.9,3291136.0,10,3,SLOPE,0.10028857666502984,1.2740820445930774,1.6422983162314697,0.8817397592029645,4.059331263562156,0.009457099993596785,6830,0.6635431918008785,2259,2273,2298,3.154319180087848,5.6616398243045385,10,808.5393,11658777.235294119,24.822753100161208,2.0690865002106875,8.693167701159837,0.7968033500001184,2.8286544972101346,0.03143085716532035,24.906477299999096,2.0781233999950928,8.777814999994007,0.8081718000030378,2.8114134198947034,0.03175377697719206,2.8343810248045274,False
CON8-5,moderate,SAA,50000,10,0.9,2897026.0,10,3,SLOPE,0.10020583902019457,1.2908373404687208,1.6938725158962968,0.8759034152591446,4.060121037330652,0.008109599992167205,7570,0.68665785997358,2581,2617,2372,3.100528401585205,5.638573315719947,10,820.5905,12023714.223529411,26.90855809910863,0.06647350055573042,8.981595299905166,0.10287175013218075,2.9886379649689996,0.03728740049237933,26.997048500008532,0.06468655000935541,9.065598100001807,0.10271365000517108,2.970751527137002,0.03652499719379598,2.9753050674121297,False
CON8-6,moderate,SAA,50000,10,0.9,2752916.0,10,3,SLOPE,0.10026660297952894,1.293242499473651,1.7005347397124935,0.8750218194621254,4.0596639769878315,0.010879900000873022,9024,0.7590868794326241,3147,3703,2174,3.2230718085106385,5.693594858156028,10,721.7615,10344519.352941178,32.79584680116386,0.3844039007235551,8.746590100345202,0.13013625007442897,3.7572649025496836,0.09357703743477819,32.936591500008944,0.3854468999998062,8.875328099995386,0.13297679999959655,3.7188480840518565,0.09279358569494045,3.7064844194534734,False
CON8-7,moderate,SAA,50000,10,0.9,3108806.0,10,3,SLOPE,0.10020487668231032,1.2853036923300156,1.6864839993029126,0.8779899708520406,4.060092986374028,0.011743600000045262,7428,0.7047657512116317,2416,2819,2193,3.2088045234248788,5.730613893376414,10,880.4109,12935630.34117647,26.951477400609292,0.39504385025793454,8.812620900920592,0.07937349967687624,3.0582817193230065,0.017254485099303718,27.054997700004606,0.3969976000007591,8.913790700011305,0.0810466999973869,3.0351843127717024,0.016911421008661165,3.031190827418612,False
CON8-8,moderate,SAA,50000,10,0.9,3089696.0,10,3,SLOPE,0.1002131835183047,1.2768726199586493,1.66239092504255,0.8810409445143353,4.060310874026416,0.00901180000801105,8438,0.7325195543967765,2901,3280,2257,3.3772220905427828,5.542664138421427,10,805.6827,11664621.705882352,31.01189149938,2.11909605065739,8.940334601677023,0.21081189909455134,3.4687618395806803,0.14912254338912945,31.128877800001646,2.125505250005517,9.042518999995082,0.21424640000623185,3.4425006792928583,0.1474347804492533,3.4390732891270734,False
CON8-9,moderate,SAA,50000,10,0.9,2695587.0,10,3,SLOPE,0.1003131466989159,1.2655477265606312,1.6566040884622169,0.885601604330912,4.059433785323554,0.00798209999629762,7826,0.7595195502172246,2448,3496,1882,3.4499105545617175,5.659212880143112,10,865.7966,12333473.82745098,28.65373290014395,1.4713479003112298,7.697475200649933,0.03148624965251656,3.7358232436440146,0.18176852635663554,28.764678100007586,1.477008649999334,7.806757300000754,0.03168310000182828,3.701179792088519,0.18187302999658517,3.680823713714425,False
SCA3-0,moderate,SAA,50000,10,0.9,8236853.0,10,3,SLOPE,0.10025220133176056,1.1971531891064344,1.4504275924086185,0.9110179720197815,4.059764876846479,0.010935400001471862,4955,0.6686175580221998,3084,229,1642,3.9505549949545915,12.296266397578204,4,661.7021,8528893.053333333,38.92466839986446,2.082932150035049,14.795770800003083,0.4225160496425815,2.6307969301509013,0.06401911409334016,38.994230600001174,2.0851694500015583,14.863449099997524,0.4251868499923148,2.6234981085250038,0.06361087253186248,2.6215693563658924,False
